"word","phonetic","meaning_zh","example","tags"
"astronomical",",æstrə'nɑmɪkl","天文数字的","Houses in the subdivision are going for astronomical prices.","CET6_1"
"at","æt; ət","在…里；在…时","They live at 18 Victoria Street.","CET4luan_2"
"athlete","'æθlit","运动员；田径运动员","a professional athlete","CET4luan_2"
"athletic","æθ'lɛtɪk","运动的，运动员的","a tall athletic man","CET6_1"
"athletics","æθ'lɛtɪks","体育运动","...students who play intercollegiate athletics.","CET6_1"
"Atlantic","ət'læntɪk","大西洋的","They underlaid the Atlantic with a cable.","CET4luan_2"
"atmosphere","'ætməsfɪr","气氛；大气；空气","The hotel had a lovely relaxed atmosphere .","CET4luan_2,CET6_1"
"atmospheric",",ætməs'fɛrɪk","大气的；大气层的","atmospheric pressure","CET4luan_2"
"atom","'ætəm","原子；微粒；微量","carbon atoms","CET4luan_2"
"atomic","ə'tɑmɪk","原子的；原子能的","atomic structure","CET4luan_2"
"attach","ə'tætʃ","缚，系，贴；附加","Attach a recent photograph to your application form.","CET4luan_2"
"attack",,"攻击，进攻","The king hight them to attack the castle.","CET4luan_2"
"attain","ə'ten","获得；达到","More women are attaining positions of power.","CET4luan_2"
"attempt","ə'tɛmpt","尝试，试图","Weather conditions prevented them from attempting the jump.","CET4luan_2"
"attend","ə'tɛnd","出席；照顾，护理","Only 12 people attended the meeting.","CET4luan_2"
"attendant","ə'tɛndənt","服务人员","a car park attendant","CET6_1"
"attention","ə'tɛnʃən","注意，留心；注意力","My attention wasn’t really on the game.","CET4luan_2"
"attentive","ə'tɛntɪv","注意的；有礼貌的","an attentive audience","CET4luan_2"
"attitude","'ætɪtʊd","态度，看法；姿势","As soon as they found out I was a doctor, their whole attitude changed.","CET4luan_2"
"attract","ə'trækt","吸引；引起……的兴趣；诱惑","What attracted me most to the job was the chance to travel.","CET4luan_2"
"attraction","ə'trækʃən","吸引；吸引力；引力","Sexual attraction is a large part of falling in love.","CET4luan_2"
"attractive","ə'træktɪv","有吸引力的","an attractive young woman","CET4luan_2"
"attribute","ə'trɪbjut","把…归因于","She attributes her success to hard work and a little luck.","CET4luan_2,CET6_1"
"audience","'ɔdɪəns","听众，观众，读者","The show attracts a regular audience of about 20 million.","CET4luan_2"
"August","ɔɡəst","八月","The world premiere took place in August 1956.","CET4luan_2"
"aunt","ænt","伯母，婶母，姑母","Aunt Mary","CET4luan_2"
"aural",,"耳的，听觉的","an aural stimulus","CET4luan_2"
"Australia","ɔ'streljə","澳大利亚","He transplanted his family to Australia.","CET4luan_2"
"Australian","ɑ'strelɪən","澳大利亚的","She went solo backpacking for eight months in the Australian outback.","CET4luan_2"
"author","'ɔθɚ","作者，作家","Nothomb is a Belgian author.","CET4luan_2"
"authorities","ə'θɔrətɪz","当局","This provided a pretext for the authorities to cancel the elections.","CET6_1"
"authority","ə'θɔrəti","当局，官方；权力","an agreement between the US and Colombian authorities","CET4luan_2,CET6_1"
"authorization",",ɔθərɪ'zeʃən","授权","You need special authorization to park here.","CET6_1"
"auto","'ɔto","（口语）汽车","imported autos","CET4luan_2"
"automatic","'ɔtə'mætɪk","自动的；机械的","an automatic weapon","CET4luan_2,CET6_1"
"Automatically","ɔːtə'mætɪklɪ","自动地；不经思考地",,"CET6_1"
"automation",",ɔtə'meʃən","自动，自动化","They phrase in new machinery for increased automation.","CET4luan_2"
"automobile",",ɔtəmə'bil","汽车，机动车","the automobile industry","CET4luan_2"
"autumn","'ɔtəm","秋，秋季","autumn mists","CET4luan_2"
"auxiliary","ɔːɡ'zɪlɪəri","辅助的","an auxiliary nurse","CET4luan_2,CET6_1"
"available","ə'veləbl","可利用的","Tickets are available from the box office.","CET4luan_2,CET6_1"
"avenue","'ævənu","大街；林荫道，道路","Fifth Avenue","CET4luan_2"
"average","'ævərɪdʒ","平均数","The December figures brought the annual average for 2001 up to 10.6 per cent.","CET4luan_2"
"aviation",",evɪ'eʃən","航空，航空学","civil/military aviation","CET4luan_2"
"avoid","ə'vɔɪd","避免；躲开","Road safety is taught to young children to avoid road accidents.","CET4luan_2"
"await","ə'wet","等候，期待","Several men are awaiting trial for robbery.","CET4luan_2"
"awake","ə'wek","醒着的","I hope he’s awake now.","CET4luan_2"
"award","ə'wɔrd","奖，奖品","The movie has won a number of awards.","CET4luan_2"
"aware","ə'wɛr","知道的，意识到的","I don't think people are really aware of just how much it costs.","CET4luan_2"
"awareness","ə'wɛrnəs","意识","Health officials have tried to raise awareness (=  improve people’s knowledge  ) about AIDS.","CET6_1"
"away","əˈwe","离开，远离；…去","Go away!","CET4luan_2"
"awesome","'ɔsəm","极好的，令人敬畏的","an awesome responsibility","CET6_1"
"awful","'ɔfl","令人不愉快的","The weather was awful.","CET4luan_2"
"awfully","'ɔfli","令人畏惧的；很","It’s awfully cold in here. Is the heater on?","CET4luan_2"
"awkward","'ɔkwɚd","尴尬的；笨拙的","I hoped he would stop asking awkward questions .","CET4luan_2,CET6_1"
"ax","æks","斧子","He grinds ax on the grindstone.","CET4luan_2"
"axis","'æksɪs","轴，轴线；中心线","The Earth rotates on an axis between the north and south poles.","CET4luan_2"
"baby","bebɪ","婴儿；孩子气的人","The baby is crying.","CET4luan_2"
"back","bæk","回原处；回；在后","I’ll be back in a minute.","CET4luan_2"
"background","'bækɡraʊnd","背景，经历；后景","a person's family/social/cultural/educational/class background","CET4luan_2"
"backup","'bæk,ʌp","后补，援助","There is no emergency back-up immediately available.","CET6_1"
"backward","'bækwɚd","向后的；倒退的","She went without a backward glance.","CET4luan_2"
"bacteria","bæk'tɪrɪə","细菌","Is it possible to multiply bacteria in the laboratory?","CET4luan_2,CET6_1"
"bad","bæd","坏的，恶的；严重的","He’s a bad man – keep away from him.","CET4luan_2"
"badge","bædʒ","标记, 徽章","We were each handed a badge with our name on it.","CET6_1"
"badly","'bædli","坏，差；严重地","The company has been very badly managed.","CET4luan_2"
"badminton","'bædmɪntən","羽毛球","Can I try you new badminton racket?","CET4luan_2"
"baffle","'bæfl","使迷惑，困惑","The question baffled me completely.","CET6_1"
"bag","bæɡ","袋，包，钱包，背包","She left the hotel carrying a shopping bag.","CET4luan_2"
"baggage","'bæɡɪdʒ","行李","Check your baggage in at the desk.","CET4luan_2"
"bake","bek","烤，烘，焙；烧硬","I’m baking some bread.","CET4luan_2"
"balance","'bæləns","使平衡","She balanced the cup on her knee.","CET4luan_2"
"ball","bɔl","球；球状物；舞会","a tennis/golf/cricket etc ball","CET4luan_2"
"ballet","bæ'le","芭蕾","We’re going to the ballet tomorrow evening.","CET6_1"
"balloon","bə'lun","气球，玩具气球","Can you help me blow up these balloons?","CET4luan_2"
"banana","bə'nænə","香蕉；芭蕉属植物","a bunch of bananas","CET4luan_2"
"band","bænd","乐队；带；波段","The band was playing old Beatles songs.","CET4luan_2"
"bang","bæŋ","巨响，枪声；猛击","There was a loud bang outside the kitchen door.","CET4luan_2"
"bank","bæŋk","银行；库；沿，堤","My salary is paid directly into my bank.","CET4luan_2"
"banner","'bænɚ","横幅；旗，旗帜","The onlookers were shouting, cheering, and waving banners.","CET4luan_2"
"bar","bɑr","酒吧间；条，杆；栅","The public bar was crowded.","CET4luan_2"
"barber","'bɑrbɚ","理发师","My father marched me over to Otto, the local barber, to have my hair cut short.","CET4luan_2"
"bare","bɛr","赤裸的；仅仅的","a ragged child with bare feet","CET4luan_2"
"barely","'bɛrli","几乎不，仅仅","She was barely aware of his presence.","CET6_1"
"bargain","ˈbɑːɡɪn","交易","I’ve kept my side of the bargain and I expect you to keep yours.","CET4luan_2"
"bark",,"吠叫声","The dog suddenly started barking at us.","CET4luan_2"
"barn","bɑrn","谷仓；牲口棚","a hay barn","CET4luan_2"
"barrel","'bærəl","桶；圆筒；枪管","The wine is aged in oak barrels.","CET4luan_2"
"barrier","'bærɪɚ","障碍；栅栏；屏障","He advocated the removal of trade barriers.","CET4luan_2,CET6_1"
"base","bes","基础，底层；基地","a frozen dessert with a biscuit base","CET4luan_2"
"basic","'besɪk","基本的，基础的","the basic principles of chemistry","CET4luan_2"
"basically","'besɪkli","基本上","Basically, I’m just lazy.","CET4luan_2"
"basin","'besn","洗脸盆；盆；盆地","a wash basin","CET4luan_2"
"basis","'besɪs","基础，根据","Their claim had no basis in fact (=  it was not true  ) .","CET4luan_2"
"basket","'bæskɪt","篮，篓，筐","a shopping basket","CET4luan_2"
"basketball","'bæskɪtbɔl","篮球运动；篮球","We love playing basketball.","CET4luan_2"
"bat","bæt","球拍；蝙蝠","a baseball bat","CET4luan_2"
"bath","bɑːθ","浴，洗澡；浴缸","After a week of camping, I really needed a bath.","CET4luan_2"
"bathe","beð","给…洗澡","I bathed, washed my hair, and got dressed.","CET4luan_2"
"bathroom","'bæθrum","浴室；盥洗室","Go and wash your hands in the bathroom.","CET4luan_2"
"battery","'bæt(ə)rɪ","电池；一套，一组","You have to take the top off to change the batteries .","CET4luan_2,CET6_1"
"battle","'bætl","战役；斗争","the Battle of Trafalgar","CET4luan_2,CET6_1"
"bay","be","湾","a house with a view across the bay","CET4luan_2"
"be","bi","是；在","My name is Susan.","CET4luan_2"
"beach","bitʃ","海滩，湖滩，河滩","a sandy beach","CET4luan_2"
"beam","bim","梁；横梁；束，柱","The cottage had exposed oak beams.","CET4luan_2"
"bean","bin","豆，蚕豆","baked beans","CET4luan_2"
"bear","bɛr","熊；粗鲁的人","a mother bear and her cubs","CET4luan_2"
"beard","bɪrd","胡须，络腮胡子","He's decided to grow a beard.","CET4luan_2"
"beast","bist","兽，野兽","...the threats our ancestors faced from wild beasts.","CET4luan_2"
"beat","bit","打，敲；打败","Somebody was beating at the door.","CET4luan_2"
"beautiful","'bjʊtəfəl","美的，美丽的","She was even more beautiful than I had remembered.","CET4luan_2"
"beauty","'bjuti","美，美丽；美人","her beauty and grace","CET4luan_2"
"because","bɪ'kɔz","由于，因为","We didn’t enjoy the day because the weather was so awful.","CET4luan_2"
"become","bɪ'kʌm","变得；变成；成为","The weather became warmer.","CET4luan_2"
"bed","bɛd","床，床位；圃；河床","You should go to bed early.","CET4luan_2"
"bee","bi","蜂，密蜂；忙碌的人","a swarm of bees","CET4luan_2"
"beef","bif","牛肉；菜牛","roast beef","CET4luan_2"
"beer","bɪr","啤酒","a pint of beer","CET4luan_2"
"before","bɪ'fɔr","在…以前","The new road should be completed before the end of the year.","CET4luan_2"
"beg","bɛɡ","乞求；请求","She begged and pleaded with them until they finally agreed.","CET4luan_2"
"beggar","'bɛɡɚ","乞丐，穷人","the beggars on the streets","CET4luan_2"
"begin","bɪ'ɡɪn","开始","As everybody’s here, let’s begin.","CET4luan_2"
"beginner","bɪ'gɪnɚ","初学者，生手","an absolute beginner","CET4luan_2"
"beginning","bɪ'ɡɪnɪŋ","开始，开端；起源","There’s a short poem at the beginning of every chapter.","CET4luan_2"
"behalf","bɪ'hæf","代表某人","She asked the doctor to speak to her parents on her behalf.","CET4luan_2"
"behave","bɪ'hev","表现，举止；","She behaved in a very responsible way .","CET4luan_2"
"behavior","bɪ'hevjɚ","行为，举止，态度","It is important to reward good behavior.","CET4luan_2"
"behind","bɪ'haɪnd","在…后面","I turned to speak to the person standing behind me.","CET4luan_2"
"being","'biɪŋ","存在；生物；生命","a law that first came into being in 1912","CET4luan_2"
"belief","bɪ'lif","信念；信任，相信","a strong belief in God","CET4luan_2"
"believe","bɪ'liv","相信；认为","You shouldn’t believe everything you read.","CET4luan_2"
"bell","bɛl","钟，铃，门铃；钟声","church bells","CET4luan_2"
"belong","bɪ'lɔŋ","属于","The house had belonged to her family for three or four generations.","CET4luan_2"
"beloved","bɪ'lʌvd","为…所爱的","He never recovered from the death of his beloved daughter.","CET4luan_2"
"below","bɪ'lo","在…下面（以下）","He dived below the surface of the water.","CET4luan_2"
"belt","bɛlt","带，腰带；皮带；区","He unbuckled his leather belt.","CET4luan_2"
"bemoan","bɪ'mon","抱怨；惋惜","He was bemoaning the fact that lawyers charge so much.","CET6_1"
"bench","bɛntʃ","长凳，条凳","We sat on a park bench.","CET4luan_2"
"bend","bɛnd","使弯曲；弯曲","You need a special tool to bend the steel.","CET4luan_2"
"beneath","bɪˈniːθ","在…下方","Jo enjoyed feeling the warm sand beneath her feet.","CET4luan_2"
"beneficial",",bɛnɪ'fɪʃl","有利的，有益的","a drug that has a beneficial effect on the immune system","CET4luan_2"
"benefit","'bɛnɪfɪt","利益；恩惠；津贴","I hope that the decision taken today will be to the benefit of the whole nation.","CET4luan_2"
